"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","AIV","(U) ","Accident Investigation. Related to information obtained during the course of 
            an accident or incident investigation.  Including but not limited to information related to wreckage, records, mail, or cargo. ",
"(U) ","ADPO","(U) ","Administrative Proceedings. Adjudication of agency-related matters including,
            but not limited to, dispute resolution, settlements, and issuances of orders.",
"(U) ","CRITAN","(U) ","Ammonium Nitrate. Related to registration information of those who own and 
            operate ammonium nitrate facilities, purchasers of ammonium nitrate, and the regulation of sales and transfers of ammonium nitrate.",
"(U) ","ARCHR","(U) ","Archaelogical Resources. Related to information about the nature and location
            of any archaeological resource for which the excavation or removal requires a permit or other permission.",
"(U) ","FSEC","(U) ","Bank Secrecy. Information that is provided to the government pursuant to the 
            Bank Secrecy Act, including but not limited to, suspicious activity reports (SAR), currency transaction reports (CTR), reports of 
            international transportation of currency or monetary instruments (CMIR), reports of cash payment over $10,000 received in trade or 
            business, and reports of foreign bank and financial accounts (FBAR). Reports filed under the Bank Secrecy Act (BSA), codified in 
            relevant part at 31 U.S.C. § 5311 et seq, are specifically exempt from disclosure under the Freedom of Information Act, codified at 
            5 U.S.C. § 552, and also may not be disclosed under any State, local, tribal, or territorial “freedom of information,” 
            “open government,” or similar law.  See 31 U.S.C. § 5319; 5 U.S.C. § 552(b)(3).  These reports (BSA Reports), are maintained in a 
            system of records containing information compiled for law enforcement investigative purposes that has been exempted from the access 
            provisions of the Privacy Act in accordance with 5 U.S.C. §§ 552a(j)(2) and (k)(2). BSA Reports may only be re-disseminated in strict 
            accordance with guidelines established by the Financial Crimes Enforcement Network (FinCEN), the Treasury bureau that administers the 
            BSA.  Suspicious Activity Reports, one of the types of required reports filed under the BSA, are required to be kept confidential in 
            accordance with 31 U.S.C. § 5318(g)(2) and implementing regulations. To the extent information falling under the purview of the BSA 
            is collected, accessed, or used for any Federal tax administration purpose, it is also subject to the confidentiality provisions of 
            the Internal Revenue Code, codified at 26 U.S.C. § 6103.",
"(U) ","BUDG","(U) ","Budget. Related to information concerning the federal budget, including 
            authorizations and estimates of income and expenditures.",
"(U) ","FUND","(U) ","Campaign Funds. Related to information obtained in connection to an 
            investigation into campaign finance and disclosure laws. Usage may include but is not limited to notification or investigation 
            pertaining to financial support of a candidate for election.",
"(U) ","CVI","(U) ","Chemical-terrorism Vulnerability Information. In accordance with Section 
            550(c) of the Department of Homeland Security Appropriations Act of 2007, the following information, whether transmitted verbally, 
            electronically, or in written form, shall constitute CVI, see (1) - (9).",
"(U) ","CHLD","(U) ","Child Pornography. From 18 USC 2256(8) ""child pornography"" means any visual 
            depiction, including any photograph, film, video, picture, or computer or computer-generated image or picture, whether made or 
            produced by electronic, mechanical, or other means, of sexually explicit conduct, where— (A) the production of such visual depiction 
            involves the use of a minor engaging in sexually explicit conduct; (B) such visual depiction is a digital image, computer image, or 
            computer-generated image that is, or is indistinguishable from, that of a minor engaging in sexually explicit conduct; or (C) such 
            visual depiction has been created, adapted, or modified to appear that an identifiable minor is engaging in sexually explicit conduct",
"(U) ","CCI","(U) ","Consumer Complaint Information. Related to information concerning consumer 
            complaints or inquiries concerning financial institutions or consumer financial products and services, and responses to them.",
"(U) ","CONTRACT","(U) ","Contract Use. Stipulations for a contractor to meet before material may be 
            used in performance of certain contracts.",
"(U) ","SUB","(U) ","Controlled Substances. Information obtained by the Drug Enforcement 
            Administration (DEA) or in DEA investigative reports related to controlled substances.",
