"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","FISA","(U) ","FISA Warning statement",
"(U) ","RAWFISA","(U) ","RAWFISA Warning statement",
"(U) ","IMC","(U) ","IMCON Warning statement",
"(U) ","CNWDI","(U) ","Controled Nuclear Weapon Design Information Warning statement",
"(U) ","RD","(U) ","RD Warning statement",
"(U) ","FRD","(U) ","FRD Warning statement",
"(U) ","DS","(U) ","LIMDIS caveat",
"(U) ","LES","(U) ","LES Notice",
"(U) ","LES-NF","(U) ","LES-NF Notice",
"(U) ","DSEN","(U) ","DSEN Notice",
"(U) ","DoD-Dist-A","(U) ","DoD Distribution statement A from DoD Directive 5230.24",
"(U) ","DoD-Dist-B","(U) ","DoD Distribution statement B from DoD Directive 5230.24",
"(U) ","DoD-Dist-C","(U) ","DoD Distribution statement C from DoD Directive 5230.24",
"(U) ","DoD-Dist-D","(U) ","DoD Distribution statement D from DoD Directive 5230.24",
"(U) ","DoD-Dist-E","(U) ","DoD Distribution statement E from DoD Directive 5230.24",
"(U) ","DoD-Dist-F","(U) ","DoD Distribution statement F from DoD Directive 5230.24",
"(U) ","US-Person","(U) ","US Person info Notice",
"(U) ","pre13526ORCON","(U) ","Indicates that an instance document must abide by rules pertaining to ORIGINATOR CONTROLLED data issued prior to Executive Order 13526.",
"(U) ","POC","(U) ","Indicates that the contents of this notice specify the contact information for a required point-of-contact.",
"(U) ","COMSEC","(U) ","COMSEC Notice",
"(U) ","SSI","(U) ","Indicates that this is the notice for Sensitive Security Information",
"(U) ","RSEN","(U) ","Risk Sensitive Notice",
"(U) ","IMCON_RSEN","(U) ","Indicates SAT warning statements include IMCON and RSEN markings",
"(U) ","GEOCAP","(U) ","GEOCAP Warning statement",
"(U) ","NATO","(U) ","NATO Warning statement",
"(U) ","RC_Dissemination_Control_Required","(U) ","This product was collected in a restricted collection mode. Redaction, chipping and release determination shall not result in more permissive release than NOFORN regardless of the Security Indicator Codes (SIC) associated with the product",
"(U) ","ITAR-EAR","(U) ","Warning statement for International Traffic in Arms Regulations (ITAR) and
				Export Administration Regulations (EAR) in accordance with DoD 5230.24, Distribution Statements on Technical Documents.",

