"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","FISA_00001","(U) ","
				CIA Special Procedures FISA: This dissemination includes FBI information from FBI FISA collection. 
				Such information, and any information derived therefrom, may only be used in a US legal or administrative
				proceeding with the advance authorization of the Attorney General. Any recipient interested in obtaining
				authorization for such use in a US legal or administrative proceeding should contact FBI Headquarters. 
				Any further dissemination outside of intelligence channels and/or for law enforcement purposes must be
				made through FBI Headquarters. Any reproduction, dissemination, or communication (including, but not 
				limited to oral briefings) of this information must be accompanied by a statement of these restrictions.
			",
"(U) ","FISA_00002","(U) ","
				FBI Minimized FISA: This report includes information from FBI FISA collection. Such information, and any
				information derived therefrom, may only be used in a US legal or administrative proceeding with the advance
				authorization of the Attorney General. Any recipient interested in obtaining authorization for such use in a
				US legal or administrative proceeding should contact FBI Headquarters. Any further dissemination outside of
				intelligence channels and/or for law enforcement purposes must be made through FBI Headquarters. Any
				reproduction, dissemination, or communication (including, but not limited to oral briefings) of this
				information must be accompanied by a statement of these restrictions.
			",
"(U) ","FISA_00003","(U) ","
				This report includes information from FISA collection. Such information, and any information derived therefrom, 
				may NOT be used in a domestic or foreign legal, judicial, or administrative proceeding without the advance 
				authorization of the Attorney General. Any recipient interested in obtaining authorization for such use should 
				contact NCTC Operations Center on (571) 280- 6000 (STE III) or 931-6000 secure. Any reproduction, dissemination,
				or communication (including but not limited to oral briefings) of this information must be accompanied by a
				statement of these restrictions.
			",
"(U) ","RAWFISA_00001","(U) ","
				FBI RAWFISA: This report includes information from FBI FISA collection that has not been evaluated 
				in accordance with minimization procedures (raw FISA-acquired information). FBI personnel with authorized
				access to raw FISA-acquired information may review, translate, copy, transcribe, analyze, summarize, 
				and use the information contained herein only in accordance with relevant minimization procedures and
				internal FBI policies. If the raw FISA-acquired information contained herein is not accompanied by handling
				instructions, then the recipient, following his/her review of the information, must either return the 
				information to the sender of the information or destroy the information, unless the recipient determines
				the information meets the minimization standard. Once raw FISA-acquired information, and any information
				derived therefrom, has been minimized by FBI personnel, such minimized FISA-acquired information may only
				be used in a U.S. legal or administrative proceeding with the advance authorization of the Attorney General,
				and in coordination with FBI Headquarters.
			",
"(U) ","CNWDI_00001","(U) ","
				Critical Nuclear Weapons Design Information - DoD Instruction 5210.02 applies.
			",
"(U) ","RD_00001","(U) ","
				RESTRICTED DATA: This document contains Restricted Data as defined in the Atomic Energy Act of 1954, 
				as amended. Unauthorized disclosure is subject to Administrative and Criminal Sanctions.
			",
"(U) ","FRD_00001","(U) ","
				FORMERLY RESTRICTED DATA: Unauthorized disclosure is subject to Administrative and Criminal Sanctions. 
				Handle as RESTRICTED DATA in foreign dissemination. Section 144b, Atomic Energy Act of 1954.
			",
"(U) ","DS_00001","(U) ","
				Distribution authorized to DoD, IAW 10 U.S.C. Section 130 and Section 455. Release authorized to U.S. DoD
				contractors IAW 48 C.F.R. Section 252.245-7000. Refer other requests to: Headquarters, NGA, 
				ATTN: Release Officer, Mail Stop S82-OIA, 7500 GEOINT Drive, Springfield, VA 22150. Destroy IAW DoDD 5030.59.
				Removal of this caveat is prohibited.
			",
"(U) ","DSEN_00001","(U) ","
				This document is the property of the DEA and may be distributed within the Federal Government 
				(and its contractors), and to US intelligence, law enforcement, and public safety or protection officials 
				with a need to know. Distribution beyond these entities without DEA authorization is strictly prohibited. 
				Precautions should be taken to ensure this information is stored and/or destroyed in a manner that precludes
				unauthorized access. The use of information in this report is pre-approved for US government Intelligence 
				Community products, including finished analytic products distributed to US Executive Branch departments/agencies.
				Cited portions must carry the same classification and controls, and readers of this report must hold all 
				appropriate clearances. The information in this report may not be used in legal proceedings, for operational
				or intelligence collection activities, shared with foreign persons or agencies, entered into non-DEA databases
				for operational purposes or reproduced in additional formats unless express permission is granted by the DEA
				based on a written request submitted to dea.onsi@dea.ic.gov (Top Secret), dea.onsi@dea.usdoj.sgov.gov (Secret),
				or dea.onsi-dl@dea.usdoj.gov (Unclassified).
			",
"(U) ","DoD-Dist-A_00001","(U) ","
				DISTRIBUTION STATEMENT A. Approved for public release.
			",
