"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","BUR","(U) ","BUR",
"(U) ","BUR-BLG","(U) ","BUR-BLG",
"(U) ","BUR-DTP","(U) ","BUR-DTP",
"(U) ","BUR-WRG","(U) ","BUR-WRG",
"(U) ","HCS","(U) ","HCS",
"(U) ","HCS-O","(U) ","HCS-O",
"(U) ","HCS-P","(U) ","HCS-P",
"(U) ","HCS-X","(U) ","HCS-X",
"(U) ","KLM","(U) ","KLAMATH",
"(U) ","KLM-R","(U) ","KLAMATH-R",
"(U) ","MVL","(U) ","MARVEL",
"(U) ","RSV","(U) ","RESERVE",
"(U) ","SI","(U) ","SPECIAL
                INTELLIGENCE",
"(U) ","SI-EU","(U) ","ECRU",
"(U) ","SI-G","(U) ","SI-GAMMA",
"(U) ","SI-NK","(U) ","NONBOOK",
"(U) ","TK","(U) ","TALENT KEYHOLE",
"(U) ","TK-BLFH","(U) ","BLUEFISH",
"(U) ","TK-IDIT","(U) ","IDITAROD",
"(U) ","TK-KAND","(U) ","KANDIK",

