"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","RS","(U) ","RISK SENSITIVE",
"(U) ","FOUO","(U) ","FOR OFFICIAL USE ONLY",
"(U) ","OC","(U) ","ORIGINATOR CONTROLLED",
"(U) ","OC-USGOV","(U) ","ORIGINATOR CONTROLLED US GOVERNMENT",
"(U) ","IMC","(U) ","CONTROLLED IMAGERY",
"(U) ","NF","(U) ","NOT RELEASABLE TO FOREIGN NATIONALS",
"(U) ","PR","(U) ","CAUTION-PROPRIETARY INFORMATION INVOLVED",
"(U) ","REL","(U) ","AUTHORIZED FOR RELEASE TO",
"(U) ","RELIDO","(U) ","RELEASABLE BY INFORMATION DISCLOSURE OFFICIAL",
"(U) ","EYES","(U) ","EYES ONLY",
"(U) ","DSEN","(U) ","DEA SENSITIVE",
"(U) ","RAWFISA","(U) ","RAW FOREIGN INTELLIGENCE SURVEILLANCE ACT",
"(U) ","FISA","(U) ","FOREIGN INTELLIGENCE SURVEILLANCE ACT",
"(U) ","DISPLAYONLY","(U) ","AUTHORIZED FOR DISPLAY BUT NOT RELEASE TO",
"(U) ","EXEMPT_FROM_ICD501_DISCOVERY","(U) ","EXEMPT FROM ICD501 DISCOVERY",
"(U) ","WAIVED","(U) ","WAIVED",
"(U) ","AC","(U) ","Attorney-Client",
"(U) ","AWP","(U) ","Attorney-WP",
"(U) ","DL_ONLY","(U) ","DL ONLY",
"(U) ","FED_ONLY","(U) ","FED ONLY",
"(U) ","FEDCON","(U) ","FEDCON",
"(U) ","NOCON","(U) ","NOCON",

